Stock quote and option quote for ORCL on 4/13/26 17:55:59

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
155.62,N,+17.53,157.84,K,158.00,U,80 x 200,"49,717,498",139.77,155.91,139.72

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
0,1.29%,27.94,.5,Q,4/9/26,345.72,121.235,"2,876,046,000",custom expression subscription limit exceeded

Theo parameters
Theo date,Theo stock price,Theo volatility
4/13/26, 0.00$, 0.00%

17 APR 26  (4)  100
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,,
,,"5,187","15,270",92.87%,7.13%,121 x 48,.08,69.76%,.01,.00,-.20,.02,.41,0,.41,.03,20.18,.39,B,.43,B,17 APR 26,175,18.45,A,20.55,A,31,824,18.81%,81.19%,283 x 269,-.77,121.32%,.01,-.01,-.77,.05,2.34,17.16,32.23,20.06,54.80,,
,,484,107,94.56%,5.44%,110 x 45,.06,72.50%,.01,.00,-.17,.02,.315,0,.30,.03,20.40,.30,E,.33,C,17 APR 26,177.5,21.20,A,23.90,A,<empty>,0,19.17%,80.83%,110 x 130,-.76,142.23%,.01,-.01,-.93,.05,2.89,19.66,0,0,63.89,,
,,"5,391","8,476",95.63%,4.37%,2 x 101,.05,76.09%,.01,.00,-.15,.02,.26,0,.26,.01,20.97,.25,C,.27,C,17 APR 26,180,23.20,J,26.40,A,3,183,17.30%,82.70%,280 x 282,-.78,146.62%,.01,-.01,-.90,.05,2.64,22.16,30.00,26.75,67.15,,
,,"1,746","11,441",97.30%,2.70%,1 x 155,.03,81.51%,.01,.00,-.10,.01,.165,0,.15,.01,21.52,.16,C,.17,C,17 APR 26,185,29.35,B,31.25,A,1,714,16.69%,83.31%,10 x 282,-.78,175.41%,.01,-.01,-1.08,.05,3.14,27.16,32.17,32.17,80.46,,
,,"1,294","7,878",98.38%,1.62%,183 x 229,.02,85.65%,.00,.00,-.07,.01,.10,0,.10,.01,21.68,.09,Q,.11,D,17 APR 26,190,33.65,A,36.25,A,<empty>,148,14.36%,85.64%,225 x 258,-.80,185.26%,.01,-.01,-1.05,.04,2.79,32.16,0,0,87.33,,
,,630,"4,535",99.04%,0.96%,178 x 39,.01,89.21%,.00,.00,-.04,.01,.06,0,.07,.01,21.70,.05,E,.07,N,17 APR 26,195,38.00,J,41.25,A,<empty>,704,12.42%,87.58%,335 x 233,-.82,194.18%,.01,-.01,-1.02,.04,2.465,37.16,0,0,93.91,,
,,"3,200","10,650",99.31%,0.69%,11 x 87,.01,94.98%,.00,.00,-.03,.00,.045,0,.05,.01,22.60,.04,D,.05,D,17 APR 26,200,44.15,B,46.25,A,605,475,12.72%,87.28%,32 x 249,-.81,223.77%,.01,-.01,-1.23,.04,3.04,42.16,47.50,46.70,106.88,,
,,"1,233","6,068",99.65%,0.35%,13 x 99,.00,104.70%,.00,.00,-.02,.00,.025,0,.02,.01,23.90,.02,N,.03,T,17 APR 26,210,53.00,J,56.25,A,95,77,10.15%,89.85%,271 x 128,-.83,240.64%,.00,-.01,-1.18,.04,2.465,52.16,57.50,57.50,119.54,,
,,35,"2,665",99.86%,0.14%,<empty>,.00,109.53%,.00,.00,-.01,.00,.01,0,.02,.01,23.57,0,I,.02,N,17 APR 26,220,63.95,B,66.25,A,110,117,9.95%,90.05%,32 x 259,-.82,282.40%,.00,-.01,-1.43,.04,2.94,62.16,65.00,65.00,138.93,,
,,112,"5,894",99.88%,0.12%,<empty>,.00,122.82%,.00,.00,-.01,.00,.01,0,.01,.01,26.53,0,N,.02,N,17 APR 26,230,73.80,J,76.25,A,600,496,9.06%,90.94%,6 x 257,-.82,309.77%,.00,-.01,-1.54,.04,2.865,72.16,75.31,75.31,153.81,,
,,14,"7,724",99.94%,0.06%,<empty>,.00,127.46%,.00,.00,.00,.00,.005,0,.01,.01,26.42,0,M,.01,A,17 APR 26,240,83.95,B,86.25,A,262,258,8.57%,91.43%,40 x 274,-.81,340.58%,.00,-.01,-1.70,.04,2.94,82.16,92.48,85.20,169.06,,
,,11,"4,213",99.95%,0.05%,<empty>,.00,138.66%,.00,.00,.00,.00,.005,0,.01,.01,28.87,0,M,.01,W,17 APR 26,250,94.00,S,96.25,A,110,129,8.15%,91.85%,18 x 251,-.80,369.97%,.00,-.01,-1.86,.04,2.965,92.16,95.20,95.20,183.50,,
,,10,"5,436",99.95%,0.05%,<empty>,.00,149.34%,.00,.00,.00,.00,.005,0,.01,.01,31.23,0,J,.01,W,17 APR 26,260,103.80,J,106.25,A,300,250,7.71%,92.29%,5 x 251,-.79,396.14%,.00,-.01,-1.99,.04,2.865,102.16,107.50,107.50,196.88,,
,,7,"2,974",99.96%,0.04%,<empty>,.00,159.53%,.00,.00,.00,.00,.005,0,.05,.01,33.50,0,Z,.01,Z,17 APR 26,270,113.80,B,116.20,A,75,64,7.43%,92.57%,23 x 132,-.79,424.27%,.00,-.01,-2.16,.04,2.84,112.16,117.50,117.50,210.25,,
,,1,"5,247",99.96%,0.04%,<empty>,.00,169.29%,.00,.00,.00,.00,.005,0,.01,.01,35.70,0,I,.01,W,17 APR 26,280,123.80,B,126.25,A,1,17,7.24%,92.76%,34 x 126,-.77,453.72%,.00,-.01,-2.34,.04,2.865,122.16,130.14,130.14,223.45,,
,,<empty>,"6,962",99.97%,0.03%,<empty>,.00,178.64%,.00,.00,.00,.00,.005,0,0,0,37.82,0,Q,.01,W,17 APR 26,290,133.80,B,136.20,A,<empty>,16,7.06%,92.94%,24 x 132,-.76,482.03%,.00,-.01,-2.53,.04,2.84,132.16,0,0,236.11,,
,,6,"8,350",99.97%,0.03%,<empty>,.00,187.62%,.00,.00,.00,.00,.005,0,.01,.01,39.88,0,Q,.01,N,17 APR 26,300,143.95,B,146.20,A,<empty>,15,6.97%,93.03%,31 x 129,-.75,512.89%,.00,-.01,-2.74,.04,2.915,142.16,0,0,248.77,,
,,<empty>,"2,500",99.97%,0.03%,<empty>,.00,196.27%,.00,.00,.00,.00,.005,0,0,0,41.87,0,Q,.01,W,17 APR 26,310,153.80,T,156.20,A,<empty>,8,6.82%,93.18%,8 x 123,-.74,540.22%,.00,-.01,-2.84,.04,2.84,152.16,0,0,260.67,,
,,<empty>,897,99.97%,0.03%,<empty>,.00,204.60%,.00,.00,.00,.00,.005,0,0,0,43.80,0,I,.01,W,17 APR 26,320,163.80,S,166.25,A,<empty>,6,6.74%,93.26%,18 x 125,-.73,570.08%,.00,-.01,-2.87,.04,2.865,162.16,0,0,272.59,,
,,1,"1,030",99.97%,0.03%,<empty>,.00,212.63%,.00,.00,.00,.00,.005,0,.01,.01,45.66,0,Q,.01,W,17 APR 26,330,174.00,S,176.25,A,<empty>,8,6.71%,93.29%,17 x 120,-.72,601.76%,.00,-.01,-2.97,.04,2.965,172.16,0,0,284.42,,
,,<empty>,"2,184",99.98%,0.02%,<empty>,.00,220.39%,.00,.00,.00,.00,.005,0,0,0,47.47,0,C,.01,W,17 APR 26,340,183.90,S,186.20,A,<empty>,0,6.61%,93.39%,18 x 122,-.70,629.48%,.00,-.01,-2.89,.04,2.89,182.16,0,0,295.66,,
,,<empty>,"1,897",99.98%,0.02%,<empty>,.00,227.89%,.00,.00,.00,.00,.005,0,0,0,49.23,0,C,.01,W,17 APR 26,350,193.80,B,196.25,N,<empty>,0,6.53%,93.47%,14 x 102,-.69,658.47%,.00,-.01,-2.87,.04,2.865,192.16,0,0,306.83,,
,,<empty>,945,99.98%,0.02%,<empty>,.00,235.16%,.00,.00,.00,.00,.005,0,0,0,50.93,0,C,.01,W,17 APR 26,360,203.95,J,206.25,A,<empty>,0,6.50%,93.50%,1 x 138,-.68,689.80%,.00,-.01,-2.94,.04,2.94,202.16,0,0,318.00,,
,,<empty>,621,99.98%,0.02%,<empty>,.00,242.20%,.00,.00,.00,.00,.005,0,0,0,52.59,0,C,.01,W,17 APR 26,370,213.30,N,216.25,N,<empty>,0,6.35%,93.65%,102 x 102,-.67,712.32%,.00,-.01,-2.62,.04,2.615,212.16,0,0,328.45,,
